SI. No.,Name of Institution,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total
1,"001 A. D. Patel Institute Of Technology, Karamsad (Id: C-176)",2,2,0,4,147,147,NA,294,147,147,NA,294
2,"003 Atmiya Institute of Technology and Science (SFI)-WITH ENGG,Rajkot. (Id: C-124)",1,0,0,1,100,NA,NA,100,100,NA,NA,100
3,"004 B.H.GARDI COLLEGE OF ENGG. and TECHNOLOGY , RAJKOT (Id: C-91)",2,1,0,3,400,100,NA,500,400,50,NA,450
4,"005 BABARIA INSTITUTE OF TECHNOLOGY,VARNAMA,VADODARA (Id: C-417)",1,1,0,2,435,68,NA,503,279,55,NA,334
5,"007 BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR (Id: C-347)",2,1,0,3,685,75,NA,760,685,75,NA,760
6,"008 BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR (Id: C-330)",1,1,0,2,300,100,NA,400,50,30,NA,80
7,"011 G.H.PATEL COLLEGE OF ENGG. and TECH. , V. V. NAGAR (Id: C-94)",1,2,0,3,399,112,NA,511,399,112,NA,511
8,"013 GOVERNMENT ENGINEERING COLLEGE, SECTOR 28 GANDHINAGAR (Id: C-309)",1,1,0,2,84,84,NA,168,160,160,NA,320
9,"014 GOVERNMENT ENGINEERING COLLEGE, BHARUCH (Id: C-271)",1,1,0,2,250,100,NA,350,0,0,NA,0
10,"015 GOVERNMENT ENGINEERING COLLEGE, BHUJ (Id: C-295)",2,1,0,3,300,100,NA,400,190,90,NA,280
11,"016 GOVERNMENT ENGINEERING COLLEGE, MODASA (Id: C-108)",1,0,0,1,438,NA,NA,438,425,NA,NA,425
12,"017 VISHWAKARMA GOVERNMENT ENGINEERING COLLEGE, CHANDKHEDA,GANDHINAGAR (Id: C-382)",1,1,0,2,282,60,NA,342,282,60,NA,342
13,"018 GOVERNMENT ENGINEERING COLLEGE, DAHOD (Id: C-359)",1,1,0,2,120,54,NA,174,120,54,NA,174
