Data,Temperatura Media (C),Temperatura Minima (C),Temperatura Maxima (C),Precipitacao (mm),Final de Semana,Consumo de cerveja (litros)
2015-01-01,27.0,23.0,32.0,0.0,0.0,25.461
2015-01-02,27.0,24.0,33.0,0.0,0.0,28.972
2015-01-03,24.0,22.0,29.0,0.0,1.0,30.814
2015-01-04,23.0,21.0,28.0,1.0,1.0,29.799
2015-01-05,23.0,21.0,28.0,0.0,0.0,28.9
2015-01-06,23.0,20.0,30.0,12.0,0.0,28.218
2015-01-07,24.0,19.0,33.0,0.0,0.0,29.732
2015-01-08,24.0,19.0,32.0,48.0,0.0,28.397
2015-01-09,28.0,21.0,34.0,4.0,0.0,24.886
2015-01-10,26.0,22.0,34.0,0.0,1.0,37.937
2015-01-11,27.0,22.0,34.0,3.0,1.0,36.254
2015-01-12,25.0,21.0,35.0,0.0,0.0,25.743
2015-01-13,25.0,21.0,34.0,0.0,0.0,26.99
2015-01-14,25.0,21.0,34.0,1.0,0.0,31.825
2015-01-15,25.0,21.0,32.0,3.0,0.0,25.724
2015-01-16,26.0,22.0,32.0,2.0,0.0,29.938
2015-01-17,28.0,22.0,35.0,0.0,1.0,37.69
2015-01-18,28.0,23.0,35.0,0.0,1.0,30.524
2015-01-19,28.0,22.0,36.0,3.0,0.0,29.265
2015-01-20,27.0,23.0,35.0,0.0,0.0,35.127
2015-01-21,25.0,22.0,30.0,0.0,0.0,29.13
2015-01-22,21.0,19.0,26.0,31.0,0.0,25.795
2015-01-23,21.0,18.0,26.0,3.0,0.0,21.784
2015-01-24,23.0,19.0,29.0,13.0,1.0,28.348
2015-01-25,24.0,18.0,30.0,0.0,1.0,31.088
2015-01-26,22.0,18.0,28.0,20.0,0.0,21.52
2015-01-27,23.0,20.0,28.0,1.0,0.0,29.972
2015-01-28,25.0,20.0,29.0,4.0,0.0,22.603
2015-01-29,25.0,21.0,29.0,0.0,0.0,22.696
2015-01-30,22.0,20.0,26.0,0.0,0.0,26.845
2015-01-31,21.0,18.0,24.0,0.0,1.0,27.03
2015-02-01,24.0,20.0,28.0,0.0,1.0,32.057
2015-02-02,22.0,20.0,26.0,4.0,0.0,24.097
2015-02-03,23.0,18.0,31.0,1.0,0.0,31.655
2015-02-04,22.0,19.0,23.0,3.0,0.0,24.738
2015-02-05,20.0,19.0,22.0,5.0,0.0,19.95
2015-02-06,21.0,17.0,25.0,18.0,0.0,22.821
2015-02-07,21.0,17.0,28.0,16.0,1.0,28.893
2015-02-08,22.0,17.0,29.0,10.0,1.0,29.926
2015-02-09,24.0,19.0,30.0,0.0,0.0,24.062
2015-02-10,23.0,20.0,29.0,32.0,0.0,21.137
2015-02-11,25.0,19.0,30.0,2.0,0.0,26.805
2015-02-12,27.0,23.0,32.0,0.0,0.0,26.389
2015-02-13,25.0,22.0,32.0,0.0,0.0,24.219
2015-02-14,24.0,21.0,31.0,0.0,1.0,30.231
2015-02-15,22.0,20.0,27.0,17.0,1.0,24.968
2015-02-16,21.0,18.0,27.0,22.0,0.0,25.343
2015-02-17,22.0,19.0,28.0,85.0,0.0,17.399
