Programme,1st Year Enrolment - Male,1st Year Enrolment - Female,1st Year Enrolment - Total,2nd Year Enrolment - Male,2nd Year Enrolment - Female,2nd Year Enrolment - Total,3rd Year Enrolment - Male,3rd Year Enrolment - Female,3rd Year Enrolment - Total,4th Year Enrolment - Male,4th Year Enrolment - Female,4th Year Enrolment - Total,5th Year Enrolment - Male,5th Year Enrolment - Female,5th Year Enrolment - Total,6th Year Enrolment - Male,6th Year Enrolment - Female,6th Year Enrolment - Total,7th Year Enrolment - Male,7th Year Enrolment - Female,7th Year Enrolment - Total,8th Year Enrolment - Male,8th Year Enrolment - Female,8th Year Enrolment - Total
Acharya-Acharya,4440,3330,7770,3332,2582,5914,19,4,23,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alankar-Alankar,778,353,1131,418,352,770,428,309,737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.N.M.-Auxiliary Nurse and Midwife,9,716,725,18,425,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anu Parangat -Anu Parangat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ayurvedacharya-Ayurvedacharya,1080,1337,2417,730,1107,1837,839,1136,1975,464,607,1071,380,388,768,175,167,342,NA,NA,NA,NA,NA,NA
Ayurveda Vachaspati-Ph.D in Ayurveda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.A.-Bachelor of Arts,1014553,1074434,2088987,641840,740214,1382054,526383,629999,1156382,637,1151,1788,126,84,210,0,0,0,0,0,0,0,0,0
"B.A. B.Ed.-Bachelor of Arts, Bachelor of Education",997,1259,2256,48,90,138,15,61,76,12,11,23,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Agri.-Bachelor of Agriculture,10149,1647,11796,6881,1359,8240,5823,987,6810,5238,889,6127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.A.(Hons)-Bachelor of Arts (Honors),129682,139724,269406,94876,103011,197887,77246,82190,159436,5,20,25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws",2548,1133,3681,1425,787,2212,1397,757,2154,1118,656,1774,1212,597,1809,0,0,0,NA,NA,NA,NA,NA,NA
B.A.M.-Bachelor of Ayurved Medicine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.A.M.S.-Bachelor of Ayurved Medicine and Surgery,1153,1897,3050,914,1316,2230,1017,1386,2403,468,592,1060,352,388,740,57,83,140,NA,NA,NA,NA,NA,NA
B.Architecture-Bachelor of Architecture,2526,3088,5614,1924,2387,4311,1447,2091,3538,1113,1575,2688,963,1201,2164,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,131,246,377,115,182,297,103,134,237,65,86,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.B.A.-Bachelor of Business Administration,51410,31694,83104,39614,26273,65887,36812,24874,61686,144,71,215,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B.B.A. L.L.B.-Bachelor of Business Administration, Bachelor of Law or Laws",225,117,342,140,76,216,95,60,155,38,27,65,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.B.M.-Bachelor of Business Management,17679,12295,29974,16409,11903,28312,15973,10754,26727,58,71,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.B.S.-Bachelor of Business Studies,317,241,558,286,225,511,217,187,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.C.A.-Bachelor of Computer Applications,61005,45879,106884,46874,38422,85296,42722,34882,77604,13,11,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.C.E.-Bachelor of Civil Engineering,34,8,42,45,10,55,20,0,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Ch.E.-Bachelor of Chemical Engineering,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Chem.Tech.-Bachelor of Chemical Technology,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.C.L.-Bachelor of Civil Law,38,15,53,40,12,52,14,11,25,5,7,12,7,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Com.-Bachelor of Commerce,480598,385507,866105,351774,295892,647666,291178,247655,538833,331,565,896,6,34,40,8,32,40,7,33,40,10,30,40
"B.Com. B.Ed.-Bachelor of Commerce, Bachelor of Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B.Com. L.L.B.-Bachelor of Commerce, Bachelor of Law",85,67,152,46,89,135,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Dance-Bachelor of Dance,6,47,53,0,27,27,0,22,22,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.Des.-Bachelor of Design,201,663,864,140,443,583,157,425,582,125,306,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.D.S.-Bachelor of Dental Surgery,3943,8698,12641,2787,6568,9355,2594,5846,8440,2768,5743,8511,1097,2089,3186,7,43,50,NA,NA,NA,NA,NA,NA
B.E.-Bachelor of Engineering,241746,105741,347487,257805,110175,367980,217689,90566,308255,180259,79561,259820,237,97,334,0,0,0,0,0,0,0,0,0
B.Ed.-Bachelor of Education,134058,240223,374281,673,1332,2005,35,342,377,35,303,338,0,0,0,0,0,0,0,0,0,0,0,0
B.F.A.-Bachelor of Fine Arts,1498,1293,2791,998,830,1828,913,761,1674,538,573,1111,49,48,97,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.F.Sc.-Bachelor of Fisheries Science,181,81,262,159,87,246,159,84,243,124,56,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.F.Tech.-Bachelor of Fashion Technology,98,230,328,57,159,216,40,118,158,26,25,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.G.L.-Bachelor of General Law,188,136,324,112,81,193,251,108,359,61,70,131,57,61,118,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.H.A.-Bachelor of Hospital Administration,152,59,211,156,50,206,166,45,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.H.M.-Bachelor of Hotel Management,1390,297,1687,1233,209,1442,1212,223,1435,723,66,789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.H.M.C.T.-Bachelor of Hotel Management and Catering Technology,1612,141,1753,1147,101,1248,1220,106,1326,649,74,723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.H.M.S.-Bachelor of Homeopathic Medicine and Surgery,2812,4353,7165,1699,2882,4581,1432,2539,3971,1499,2145,3644,632,867,1499,261,413,674,NA,NA,NA,NA,NA,NA
"B.H.M.T.T.-Bachelor of Hotel Management, Travel and Tourism",378,63,441,355,58,413,298,63,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.H.T.M.-Bachelor of Hotel and Tourism Management,256,67,323,265,55,320,253,43,296,48,5,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B.I.B.F.-Bachelor of International Business and Finance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
