College,Playground,Auditorium,Theatre,Library,Laboratory,Conference Hall,Health Center,Gymnasium/ Fitness Center,Indoor Stadium,Common Room,Computer Center,Cafeteria,Guest House
"001 A. D. Patel Institute Of Technology, Karamsad (Id: C-176)",Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
"002 AHMEDABAD INSTITUTE OF TECH, AHMEDABAD (Id: C-407)",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"003 Atmiya Institute of Technology & Science (SFI)-WITH ENGG,Rajkot. (Id: C-124)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"004 B.H.GARDI COLLEGE OF ENGG. & TECHNOLOGY , RAJKOT (Id: C-91)",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
"005 BABARIA INSTITUTE OF TECHNOLOGY,VARNAMA,VADODARA (Id: C-417)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"006 BHAGWAN MAHAVIR COLLEGE OF ENGG. AND TECH., SURAT (Id: C-175)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
"007 BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR (Id: C-347)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
"008 BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR (Id: C-330)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
"009 C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT (Id: C-372)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
"011 G.H.PATEL COLLEGE OF ENGG. & TECH. , V. V. NAGAR (Id: C-94)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"012 Gandhinagar Institute of Technology(SFI),BHOYAN-Khatraj Kalol Road (Id: C-338)",Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes
"013 GOVERNMENT ENGINEERING COLLEGE, SECTOR 28 GANDHINAGAR (Id: C-309)",No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No
"014 GOVERNMENT ENGINEERING COLLEGE, BHARUCH (Id: C-271)",No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
"015 GOVERNMENT ENGINEERING COLLEGE, BHUJ (Id: C-295)",Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
"016 GOVERNMENT ENGINEERING COLLEGE, MODASA (Id: C-108)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
"017 VISHWAKARMA GOVERNMENT ENGINEERING COLLEGE, CHANDKHEDA,GANDHINAGAR (Id: C-382)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"018 GOVERNMENT ENGINEERING COLLEGE, DAHOD (Id: C-359)",Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
"019 GOVERNMENT ENGINEERING COLLEGE, VALSAD (Id: C-135)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"020 GOVERNMENT ENGINEERING COLLEGE, RAJKOT (Id: C-49)",No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No
"021 GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR (Id: C-35)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"022 GOVERNMENT ENGINEERING COLLEGE, PATAN (Id: C-423)",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"023 GOVERNMENT ENGINEERING COLLEGE, SURAT (Id: C-225)",No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
"024 HASMUKH GOSWAMI COLLEGE OF ENGG, VAHELAL (Id: C-93)",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"026 KALOL INSTITUTE OF TECH. & RESEARCH CENTER ,KALOL (Id: C-399)",Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
"027 KANKESHWARIDEVI INST. OF TECH.,JAMNAGAR (Id: C-216)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"028 L.D.COLLEGE OF ENGINEERING, AHMEDABAD (Id: C-212)",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
"029 LALJIBHAI CHATURBHAI INSTITUTE OF TECH., BHANDU (Id: C-227)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
"031 Lakhdhirji Enggniering college,Morbi. (Id: C-191)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
032 L.J.Institue of Engineering and technology (SFI)-Ahmedabad (Id: C-350),Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
"033 MAHATMA GANDHI INST.OF TECHNICAL EDU. AND RESEARCH CENTER,NAVASARI (Id: C-264)",Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
"034 NARNARAYAN SHASTRI INSTITUTE OF TECH., JETALPUR (Id: C-182)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"035 NOBLE ENGINEERING COLLEGE, JUNAGADH (Id: C-213)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
"036 OM SHANTI ENGG. COLLEGE, BEDI, RAJKOT (Id: C-110)",Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
"037 PARUL INSTITUTE OF ENGG. AND TECH., LIMDA, VAGHODIA (Id: C-131)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
